Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,129.979996,130.360001,128.139999,128.419998,124.064743,1987720
2019-11-01,129.199997,130.360001,128.139999,129.979996,125.571823,1372617
2019-11-04,130.380005,132.199997,130.039993,130.839996,126.402672,1231104
2019-11-05,130.880005,130.880005,128.600006,130.119995,125.707085,1098427
2019-11-06,129.979996,131.440002,129.320007,131.039993,126.595871,1034298
2019-11-07,131.259995,132.559998,131.179993,132.279999,127.793839,1033920
2019-11-08,131.580002,132.960007,130.899994,132.960007,128.450775,1001098
2019-11-11,132.539993,133.899994,132.500000,132.860001,128.354156,717859
2019-11-12,133.199997,135.240005,132.639999,134.679993,130.112427,1117643
2019-11-13,134.800003,135.559998,134.160004,135.500000,130.904633,1005889
2019-11-14,135.860001,136.779999,135.000000,135.860001,131.252411,685658
2019-11-15,136.679993,137.320007,135.619995,136.399994,131.774109,1126477
2019-11-18,136.259995,136.559998,133.740005,134.399994,129.841919,1076652
2019-11-19,134.699997,136.660004,134.699997,135.300003,130.711411,820254
2019-11-20,134.820007,135.800003,134.660004,135.100006,130.518204,756966
2019-11-21,134.820007,135.360001,133.699997,134.039993,129.494125,1012179
2019-11-22,133.960007,135.080002,133.539993,133.699997,129.165665,710551
2019-11-25,134.000000,134.800003,133.619995,134.580002,130.015823,766245
2019-11-26,134.199997,135.720001,134.100006,135.679993,131.078522,1458490
2019-11-27,136.139999,136.199997,133.679993,133.940002,129.397522,869935
2019-11-28,133.139999,134.059998,132.500000,133.619995,129.088379,555840
2019-11-29,132.699997,133.500000,131.679993,133.399994,128.875839,1529398
2019-12-02,133.860001,134.399994,129.779999,129.779999,125.378609,1991605
2019-12-03,130.000000,130.300003,124.059998,124.059998,119.852608,2874629
2019-12-04,124.660004,128.380005,124.500000,127.980003,123.639664,2347993
2019-12-05,127.599998,127.879997,126.860001,127.000000,122.692894,1298325
2019-12-06,127.279999,128.279999,126.199997,127.040001,122.731544,1126397
2019-12-09,126.900002,127.059998,124.620003,124.940002,120.702766,1309613
2019-12-10,124.459999,124.599998,122.519997,124.220001,120.007179,1488075
2019-12-11,123.440002,124.379997,123.040001,124.000000,119.794647,1122774
