Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,42.900002,43.200001,42.610001,42.959999,40.848061,12096400
2019-06-24,42.910000,42.930000,42.240002,42.330002,40.249031,10997100
2019-06-25,42.250000,42.700001,41.900002,41.980000,39.916241,9637900
2019-06-26,43.000000,43.799999,42.930000,43.580002,41.437580,10023900
2019-06-27,43.889999,44.869999,43.790001,44.689999,42.493023,8894400
2019-06-28,45.130001,45.389999,44.680000,44.910000,42.702206,15599700
2019-07-01,46.630001,47.549999,45.220001,45.680000,43.434341,11452200
2019-07-02,45.110001,45.220001,44.119999,44.660000,42.464489,13869000
2019-07-03,44.520000,44.779999,44.360001,44.669998,42.473991,5559100
2019-07-05,44.240002,44.419998,43.560001,43.980000,41.817921,6618200
2019-07-08,43.160000,43.750000,43.060001,43.450001,41.313976,9733000
2019-07-09,43.230000,44.060001,42.880001,43.970001,41.808411,12432400
2019-07-10,44.500000,45.430000,44.450001,44.720001,42.521538,7184700
2019-07-11,45.070000,45.369999,44.369999,45.279999,43.054008,8128500
2019-07-12,45.360001,46.549999,45.360001,46.509998,44.223537,9030900
2019-07-15,46.849998,47.430000,45.919998,46.279999,44.004845,6723200
2019-07-16,46.000000,46.230000,45.500000,46.009998,43.748116,6671000
2019-07-17,46.259998,46.470001,45.619999,46.220001,43.947792,8459900
2019-07-18,46.470001,48.639999,46.380001,48.169998,45.801933,14577100
2019-07-19,48.310001,48.490002,47.660000,47.810001,45.459637,9415200
2019-07-22,49.320000,50.799999,49.209999,50.730000,48.236076,21604000
2019-07-23,50.639999,51.320000,50.119999,51.029999,48.521336,10063900
2019-07-24,50.990002,52.419998,50.759998,52.139999,49.576767,11289800
2019-07-25,51.720001,51.790001,50.669998,50.820000,48.321655,8301000
2019-07-26,50.889999,51.099998,50.459999,50.740002,48.245598,5737600
2019-07-29,50.459999,50.770000,50.060001,50.669998,48.179035,4485700
2019-07-30,50.060001,51.049999,49.910000,50.730000,48.236076,4666300
2019-07-31,50.529999,50.590000,48.689999,49.369999,46.942936,8334800
2019-08-01,49.439999,51.049999,47.910000,48.470001,46.087189,11076800
2019-08-02,48.000000,48.400002,47.189999,47.549999,45.212410,8093900
2019-08-05,46.200001,46.200001,44.970001,45.459999,43.225159,12069900
2019-08-06,46.419998,46.970001,45.680000,46.330002,44.052395,7428200
2019-08-07,46.040001,46.860001,45.750000,46.680000,44.385181,7591400
2019-08-08,47.090000,47.950001,46.889999,47.860001,45.507179,6122900
