TensorFlow,PyTorch
7903.97802734375,7903.76611328125
14063.390625,14063.7802734375
7991.5830078125,7991.40771484375
14185.87890625,14186.1962890625
14762.662109375,14763.068359375
8482.3271484375,8482.1591796875
11393.95703125,11394.076171875
15840.9482421875,15841.4833984375
11834.224609375,11834.4189453125
13900.2939453125,13900.6123046875
8117.85546875,8117.6884765625
11768.974609375,11769.1318359375
11713.900390625,11714.1025390625
14275.0751953125,14275.43359375
11621.8798828125,11621.9677734375
13548.126953125,13548.4873046875
13457.34765625,13457.6142578125
10737.5654296875,10737.6875
12036.8544921875,12037.0263671875
13128.1904296875,13128.4228515625
11530.455078125,11530.5986328125
14663.6611328125,14664.0908203125
15341.107421875,15341.5791015625
11199.275390625,11199.3330078125
14843.8564453125,14844.2314453125
15235.9677734375,15236.392578125
9909.27734375,9909.30859375
8124.41064453125,8124.2177734375
14837.0703125,14837.4794921875
10919.73046875,10919.8701171875
12377.333984375,12377.5068359375
12059.7421875,12059.8837890625
14108.9443359375,14109.2529296875
11361.9814453125,11362.0888671875
14021.056640625,14021.3916015625
11196.4130859375,11196.4873046875
13752.0849609375,13752.4052734375
13630.736328125,13631.01171875
12266.552734375,12266.7177734375
15687.0302734375,15687.482421875
15254.103515625,15254.6611328125
7797.7626953125,7797.5087890625
13459.7744140625,13460.060546875
10617.5439453125,10617.6015625
13290.912109375,13291.166015625
8057.3046875,8057.0908203125
12723.474609375,12723.7900390625
13215.28125,13215.5556640625
12056.44140625,12056.6728515625
10363.3271484375,10363.3427734375
15611.8603515625,15612.3095703125
14566.70703125,14567.1328125
7977.09765625,7976.89501953125
13276.5361328125,13276.7958984375
14660.5576171875,14661.0400390625
17857.076171875,17857.732421875
16369.451171875,16369.9892578125
11786.578125,11786.701171875
14094.4921875,14094.8173828125
10890.96484375,10891.0888671875
8238.7548828125,8238.5869140625
8495.5947265625,8495.4296875
12771.185546875,12771.423828125
12500.67578125,12500.876953125
14340.3876953125,14340.7919921875
13070.7001953125,13071.0283203125
11904.8330078125,11904.9677734375
17706.17578125,17706.828125
8176.93798828125,8176.751953125
12381.681640625,12381.908203125
7373.2490234375,7373.0419921875
14654.1904296875,14654.5556640625
15286.673828125,15287.1630859375
11524.65234375,11524.8076171875
7963.0732421875,7962.896484375
8952.2724609375,8952.1748046875
10988.25,10988.3447265625
12764.845703125,12765.072265625
7360.80810546875,7360.57373046875
9285.0517578125,9284.9912109375
14226.2490234375,14226.6376953125
13987.65625,13987.9970703125
11635.4765625,11635.5791015625
15787.0341796875,15787.533203125
11787.5595703125,11787.7041015625
9615.951171875,9615.9072265625
11285.4921875,11285.560546875
16306.6044921875,16307.19921875
15041.96484375,15042.38671875
14095.5126953125,14095.853515625
12489.15234375,12489.3251953125
