sk-learn,numpy
7903.74023406196,7903.740233894773
14063.309569988163,14063.30956994868
7991.390137057462,7991.390136896746
14185.639647986423,14185.639647953358
14762.580078005969,14762.58007795384
8482.099609049199,8482.099608899302
11393.809569988282,11393.809569924562
15840.959960992854,15840.959960966635
11834.110351996575,11834.110351932166
13900.19043001305,13900.190429947688
8117.669922024699,8117.6699218975045
11768.83984400468,11768.839843927992
11713.78027297293,11713.780272931548
14274.9804690004,14274.980468949176
11621.70996096507,11621.70996093082
13548.070313001126,13548.070312945645
13457.24999995312,13457.249999943786
10737.50976600082,10737.50976592296
12036.790038963083,12036.790038933455
13128.049805001667,13128.049804941176
11530.330077982062,11530.330077926388
14663.639648001383,14663.639647953145
15341.08984399948,15341.089843965972
11199.120116987884,11199.120116928105
14843.769530963125,14843.769530960702
15235.83984396742,15235.83984395521
9909.169921978617,9909.169921915925
8124.180176054993,8124.1801758961
14836.990234011579,14836.990233954757
10919.58984401483,10919.589843926062
12377.179687986469,12377.179687931479
12059.559569999294,12059.559569930685
14108.820312981608,14108.820312954083
11361.849608993898,11361.849608926967
14020.950195003657,14020.950194946345
11196.219726990732,11196.21972692404
13752.019530985719,13752.019530951295
13630.610352001178,13630.610351947063
12266.410156008484,12266.410155932383
15686.919921988409,15686.919921964049
15254.049804963484,15254.049804963219
7797.540039011223,7797.540038905837
13459.709960970687,13459.70996094538
10617.440430021094,10617.44042992153
13290.78027299492,13290.780272942771
8057.0400390490995,8057.040038896021
12723.469726931515,12723.46972694474
13215.240233936356,13215.240233943628
12056.440430011884,12056.440429934955
10363.179688006689,10363.179687919712
15611.759765996128,15611.759765966823
14566.700194996805,14566.700194956882
7976.879883055123,7976.87988289558
13276.419921994731,13276.419921941564
14660.580078004703,14660.580077956058
17857.019530968857,17857.019530984046
16369.410155984642,16369.410155971274
11786.429688014528,11786.429687930513
14094.379882983932,14094.37988294752
10890.84960899749,10890.849608922317
8238.540039051719,8238.540038896985
8495.37988303136,8495.379882902282
12771.110351947333,12771.110351934289
12500.570313001132,12500.570312937005
14340.259765997745,14340.259765951516
13070.69042993135,13070.690429942606
11904.709960982842,11904.70996093135
17706.09765599941,17706.097655977494
8176.709961053241,8176.709960896361
12381.570313005908,12381.570312933201
7373.080078026128,7373.080077894519
14654.019531011847,14654.019530951535
15286.639648008795,15286.639647957065
11524.549804989825,11524.549804926532
7962.879883059793,7962.879882896227
8952.169922006367,8952.169921917304
10988.150390995912,10988.150390921854
12764.749999990197,12764.749999935086
7360.58007801773,7360.5800778948405
9284.87988301679,9284.879882907591
14226.219726976777,14226.219726949073
13987.639647917018,13987.639647945976
11635.30957000062,11635.309569930625
15786.99023399878,15786.9902339635
11787.400390992527,11787.400390931967
9615.809569967185,9615.809569910998
11285.320313002587,11285.320312925476
16306.639647993523,16306.639647967877
15041.860352018679,15041.860351952431
14095.469726940779,14095.469726949548
12488.929687994738,12488.929687937001
11066.809569992543,11066.809569922794
12560.250000004326,12560.24999993393
15947.740233978773,15947.740233960269
12212.59960898733,12212.599608930232
11984.519530988871,11984.519530934744
10680.509765991746,10680.509765921472
12141.709961000546,12141.70996093659
13092.8496089941,13092.84960894104
13429.980469011056,13429.980468945958
7751.770020048486,7751.77001989731
12328.509766001383,12328.509765931993
10402.089844013697,10402.089843915692
8004.069824047488,8004.06982389686
7833.270020048418,7833.270019896198
11264.45019499652,11264.450194928047
16828.66992198208,16828.669921973513
13588.830077989172,13588.830077948161
9576.589844037393,9576.589843910331
8119.790039056606,8119.79003889649
11264.950195007068,11264.950194927684
12997.749999979842,12997.749999941232
12175.23046900301,12175.23046893939
9273.400391044079,9273.400390908133
8854.389648018625,8854.389647903678
8814.230469045306,8814.230468901851
8710.709961023049,8710.709960906539
13116.1699219755,13116.16992194073
16857.050780992526,16857.050780970367
8263.230469015902,8263.230468901573
9340.21972700222,9340.219726907811
13721.030273008877,13721.03027294855
12839.290039001682,12839.29003894025
8945.650391052328,8945.650390902138
15047.700195011683,15047.700194955403
12113.790038975909,12113.79003893881
11689.009765988701,11689.009765930909
7908.680176047737,7908.68017589606
13573.320312980006,13573.320312943095
8567.99023404795,8567.990233901284
11379.719727013437,11379.71972692567
15885.019530992668,15885.01953096583
17133.13085899588,17133.130858971606
13897.299804993796,13897.299804950973
8506.209961051398,8506.209960899072
14284.530272999891,14284.530272951362
13259.139648002976,13259.139647940121
13539.290038990417,13539.290038948222
15509.900390996627,15509.900390957639
8560.730469015094,8560.730468901445
13502.200194986784,13502.200194942416
15074.570312967617,15074.57031295382
14229.910155966407,14229.910155949907
13294.190429991584,13294.190429941376
14241.019531007258,14241.01953094717
15860.959960981574,15860.959960963892
13532.459960967395,13532.459960946517
13192.34960897206,13192.349608945591
14082.549804992306,14082.549804950064
14369.709961004797,14369.70996094783
13124.990233997069,13124.990233942171
11010.980469006054,11010.980468923739
16277.459960987682,16277.459960966644
8087.439941049058,8087.439940896583
14822.900391010253,14822.900390950696
11740.650390997602,11740.65039093873
8169.680176046246,8169.680175898693
8632.490234047486,8632.490233901899
13716.719727005755,13716.719726946052
15180.429687992751,15180.429687962202
11665.059570022462,11665.059569929961
14127.280273004853,14127.2802729479
12157.719726994475,12157.719726931138
14124.089844006581,14124.089843951557
10154.629882998592,10154.629882916452
15595.919921985145,15595.91992196019
10911.589844018317,10911.58984392456
10798.349608940038,10798.349608924573
10575.62011699807,10575.620116921102
11019.299805021574,11019.299804920773
14281.759766001698,14281.75976594858
14144.559570015403,14144.55956994702
14125.480469003058,14125.480468946453
14644.950195001244,14644.95019495077
12644.45996098588,12644.459960937562
16698.32031284729,16698.320312966636
12081.38964796917,12081.389647934016
11082.000000005686,11081.999999925025
13236.009766005143,13236.009765943236
12256.919922007039,12256.919921931452
11633.570312986914,11633.570312930276
8965.610352019892,8965.610351908776
10968.360352010513,10968.360351923418
12284.740234007999,12284.74023393273
14571.639648010409,14571.639647951215
14524.070312985998,14524.070312950753
11891.790038995934,11891.790038932517
11434.04980497193,11434.049804929575
11630.860352006188,11630.860351931067
15105.580077996543,15105.580077956067
15793.709960976823,15793.70996095957
13685.480468985113,13685.480468943859
10546.030272998436,10546.030272919203
10853.549805019175,10853.54980492468
12355.110351959505,12355.11035193372
15845.230469007442,15845.23046896726
13777.740233943296,13777.740233946375
8098.37988305381,8098.379882896691
9383.769531043512,9383.769530906473
15491.660156021826,15491.66015596037
15655.5996089784,15655.599608962413
10478.089844008331,10478.089843921442
11420.980469021712,11420.980468923397
11004.870117012953,11004.87011692282
9726.01953100167,9726.019530921269
13314.299804998742,13314.29980494186
14138.78027300104,14138.780272948577
15871.259766016823,15871.259765964627
11226.360352049112,11226.360351921478
11364.599609013369,11364.59960892567
11042.500000022275,11042.499999921656
11719.679687993683,11719.679687928932
13790.91992200433,13790.919921948254
14546.679687991033,14546.679687952088
11716.080078010753,11716.080077927501
9020.769531040782,9020.769530904892
11160.570313027742,11160.570312926708
13059.469726997351,13059.469726940784
16315.700194987829,16315.700194964347
12440.040039001335,12440.040038932368
13533.049804960097,13533.049804942946
12804.730469025888,12804.730468934824
17608.43945297921,17608.439452978997
9572.150391046425,9572.150390909166
9178.860352044996,9178.860351904916
14823.429688006088,14823.429687954134
15055.650390978653,15055.650390956705
13307.769531000038,13307.76953094221
10958.5498050044,10958.549804921318
12983.809569998622,12983.809569937988
13371.570312990989,13371.570312945296
10847.690430013483,10847.690429923347
7993.629883046485,7993.6298828976005
10386.980468995356,10386.980468920168
11322.240233989716,11322.240233936951
15265.889648010241,15265.889647957276
13924.910155970972,13924.910155946354
10020.349608987279,10020.3496089138
12032.41992199934,12032.419921939972
8410.62988304583,8410.629882898571
6904.58984399872,6904.589843894968
16019.26953099252,16019.26953096167
14541.790039007557,14541.79003895315
9711.969727047648,9711.969726910973
13379.049805011564,13379.04980494198
13128.95019494724,13128.950194939338
8979.660156015923,8979.66015590429
12609.160155969901,12609.160155938913
7862.830078043193,7862.830077899333
9467.969727043663,9467.96972690977
12658.19042999925,12658.190429935736
15225.150390988432,15225.150390964545
