sk-learn,numpy
86.09950299943989,86.09950300027226
129.9600069997868,129.9600070003597
90.23300199966323,90.23300200027674
159.0034939999414,159.0034940004064
181.51600599978985,181.51600600042607
87.65550199978624,87.65550200027137
100.5500029999858,100.55000300029192
184.7200009996858,184.72000100044775
122.41999799963386,122.41999800033618
168.61000100028122,168.61000100041076
89.70800000064744,89.70800000027633
98.04000099954702,98.04000100028875
157.18699600132422,157.18699600042692
177.47950700007732,177.47950700040332
102.23999800029848,102.23999800032735
152.60150099985609,152.6015010003722
163.16900600063568,163.16900600042123
114.80000299977124,114.80000300031229
155.9030000000105,155.9030000003876
143.17999299940593,143.17999300036075
93.55000299959057,93.55000300029258
183.78700300116103,183.78700300047012
170.41700699971605,170.41700700040892
120.59999799962412,120.59999800033411
149.10000599954768,149.1000060003825
169.62449599968105,169.62449600042828
136.720001000349,136.72000100036024
88.87149799970345,88.87149800027714
182.8320009995837,182.83200100042455
158.7554930006434,158.75549300043633
159.33650199975054,159.33650200039963
103.80999799974789,103.80999800031614
164.88900799986484,164.88900800042893
114.33000199991744,114.33000200032907
137.27000399943563,137.2700040003418
98.48999800051374,98.489998000298
152.0525049995582,152.05250500038233
130.14999400034569,130.14999400036763
136.44999699967704,136.4499970003602
176.1645049999074,176.16450500043064
172.18600500006318,172.1860050004306
97.77449800096937,97.7744980002944
154.08399999975848,154.08400000036303
160.00000000070023,160.00000000037682
133.220000999579,133.22000100036178
86.59600099988342,86.59600100026876
148.87849400069862,148.8784940003953
153.74800100038513,153.74800100038186
176.57249500013114,176.57249500040015
150.4454960007538,150.4454960003974
173.66999799959328,173.6699980004191
164.16299399972988,164.16299400039685
90.0309979995426,90.03099800027377
126.61000099952821,126.61000100035218
181.31950400020452,181.31950400041669
184.05999799934347,184.05999800043872
178.14999399923997,178.1499940004235
156.8695070002905,156.86950700039793
145.8000029997292,145.80000300038523
96.79000100149928,96.79000100031165
98.69100200020615,98.69100200028781
118.17450000023386,118.17450000033064
159.26350399945832,159.26350400038734
115.49999999989359,115.50000000031615
156.2989959996664,156.29899600039224
160.3099980002637,160.30999800038288
155.85099799979386,155.85099800037742
187.38999899938577,187.38999900042666
91.96700299941347,91.96700300027827
133.2200009996155,133.22000100035746
95.32949800001336,95.32949800028707
165.12150599957377,165.12150600040863
176.27499399980962,176.2749940004215
113.22000099982915,113.22000100033586
88.81449899981156,88.81449900027245
97.69750200116724,97.69750200028541
102.4400020005086,102.44000200030504
161.8040009999637,161.80400100039122
95.3850020002008,95.38500200028895
122.33699800056417,122.33699800034854
146.08999599989653,146.08999600037814
166.14700299988436,166.1470030003966
115.54000099952867,115.54000100033102
176.15800499952016,176.15800500041524
98.70999899974541,98.70999900029729
123.0299989997713,123.0299990003476
94.12999699977935,94.12999700028891
185.6699979993608,185.66999800042228
164.95899999930694,164.95900000039705
163.88549799954674,163.88549800039422
138.16700699999762,138.1670070003711
117.30999799970273,117.30999800033524
114.98999799992875,114.98999800034669
173.16000399920762,173.1600040004207
102.05000300005969,102.05000300030437
115.36850000009116,115.36850000032169
115.06999999955573,115.07000000033113
130.74999999966792,130.75000000038008
125.98000299991003,125.98000300034425
161.14500399990905,161.14500400039773
87.48100300062141,87.48100300028102
112.18000000006327,112.18000000032742
150.01649499983648,150.0164950003927
91.16200300050625,91.16200300027127
89.39150200054802,89.39150200026029
104.099998000576,104.09999800029782
178.33999599925534,178.33999600041201
157.3070069996909,157.3070070003776
104.7985000003928,104.79850000030093
88.10849799947457,88.10849800027142
164.86849999991182,164.86850000041153
150.25000000015206,150.25000000039847
123.00000000025057,123.00000000033826
100.20999900084871,100.20999900031262
117.5630039998332,117.56300400032374
88.46050299984323,88.46050300026654
115.79950000047315,115.79950000033793
151.39950600002794,151.3995060003927
179.33999599918965,179.33999600042628
116.40599800142905,116.405998000322
121.09300199999811,121.09300200032708
135.52000399947525,135.52000400035104
144.3500060000295,144.3500060003903
89.6500019994739,89.65000200027225
171.27600099946653,171.27600100040723
102.11000100087927,102.11000100028181
94.90000199971243,94.90000200029458
86.782500999821,86.78250100027383
126.66000399961739,126.66000400033255
89.08000200012893,89.08000200026916
165.3730010004001,165.37300100043078
183.6199949995714,183.61999500045113
184.3000029992047,184.30000300044009
157.78449999993904,157.78450000038998
86.73549699966665,86.73549700026999
146.13000499945971,146.13000500037242
123.42999999963136,123.43000000035283
139.98599200035434,139.98599200036907
158.9999999995193,159.00000000040052
119.68049600080442,119.68049600035388
124.83000199964616,124.83000200034199
153.41000399915063,153.4100040003772
146.88000499954885,146.88000500040985
138.070006999648,138.0700070003424
147.7299959996759,147.7299960003837
176.25750699967637,176.25750700042323
151.14199799951322,151.14199800039052
154.64650000025722,154.64650000037818
173.56550600150433,173.56550600039822
172.4539950000947,172.45399500041947
158.07350199991856,158.07350200038897
158.3730010001328,158.37300100039482
182.41000399926008,182.41000400044126
91.56749699978988,91.56749700028084
164.69850199944472,164.69850200038786
111.07749900039416,111.07749900034672
91.14949799958241,91.14949800028502
