sk-learn,numpy
61433134.60117151,61433134.60117199
178079874.70627013,178079874.70626736
64228994.45701352,64228994.457013644
101665724.17615622,101665724.176157
70820482.03144655,70820482.0314488
164470907.8095135,164470907.80951554
124494217.86592984,124494217.86592731
63988460.91367206,63988460.91367292
208746103.87031716,208746103.87031808
99418119.84313357,99418119.84313303
90235351.85743243,90235351.85743289
149849183.94223619,149849183.94223806
111455240.24784951,111455240.24785101
128269622.30538327,128269622.30538303
198425845.31829578,198425845.31827334
75899275.26200983,75899275.26201019
140802190.62838283,140802190.62838215
109542126.31829815,109542126.31829946
180719329.66213766,180719329.66213822
176745127.88159838,176745127.88159823
689003677.2359794,689003677.235961
94018979.68552126,94018979.68552394
110832103.45648202,110832103.45648102
109654700.01782078,109654700.01782236
57777509.582236856,57777509.582247145
113452398.32374841,113452398.32374933
128010933.04424232,128010933.04424198
118555473.14970002,118555473.14970103
127749204.69962797,127749204.69962949
292533310.29007876,292533310.29008627
83589003.90825883,83589003.9082583
123919234.82357946,123919234.82357901
1674817373.7119837,1674817373.7119248
110428862.74497522,110428862.74497554
91650556.67502892,91650556.67503041
66562918.020501345,66562918.02050096
105182954.43603626,105182954.43603623
128173450.7095145,128173450.7095154
703259302.6192667,703259302.6192437
138869448.48955828,138869448.48955715
102166059.13775662,102166059.13775718
119914125.54944327,119914125.54944368
36891663.72975466,36891663.72975336
141448200.51636636,141448200.51636901
104996204.9535493,104996204.9535474
124384186.93959159,124384186.93959185
107568803.92512114,107568803.92512041
194634206.99143952,194634206.99143958
87733616.02355841,87733616.0235585
91195467.73549694,91195467.73549804
374976600.24900985,374976600.2490014
80788041.73330039,80788041.73329759
117395137.81790262,117395137.81790254
149308113.29929113,149308113.29929012
127756864.03100792,127756864.03100842
62890745.713793844,62890745.713794634
113544148.16294247,113544148.162943
289733806.12414,289733806.1241394
148530095.96902624,148530095.9690262
115925993.85639477,115925993.8563956
131275260.90138525,131275260.90138692
72429561.17169297,72429561.17169318
740744262.513262,740744262.513252
121619869.6610254,121619869.66102475
187944655.84230107,187944655.84230185
127336971.93834156,127336971.93834229
146629942.8453266,146629942.84532812
100661023.3800079,100661023.38001037
84850399.11300114,84850399.11299697
193305867.1482217,193305867.14822054
119841449.99329549,119841449.99329583
132812007.74501199,132812007.74501172
77113309.28284857,77113309.28285034
141018284.5552553,141018284.55525455
622352047.4956692,622352047.4956741
133719895.370475,133719895.37047425
121596367.45266175,121596367.4526628
60754081.67976676,60754081.67976538
150692027.06566006,150692027.06566283
132254838.78406283,132254838.78406325
88673329.37620234,88673329.37620185
50180299.05481477,50180299.054816976
117319263.73269773,117319263.73269835
101201288.56335267,101201288.56335217
98342935.55026534,98342935.55026846
99347227.87311621,99347227.8731178
34516983.262040295,34516983.26203996
150816509.06861877,150816509.06861886
184891393.26556942,184891393.26557326
123577134.20435902,123577134.20436014
138006497.33158052,138006497.33158052
115433573.7268827,115433573.72688305
105280365.72777721,105280365.72777742
433711789.3007439,433711789.30073464
186396653.44871536,186396653.44871473
110634004.2818948,110634004.28189608
132097132.20519853,132097132.20519899
129272250.2639485,129272250.2639482
112852670.47876939,112852670.47876918
110760371.47170839,110760371.47170752
116588548.17517892,116588548.17517808
144083478.27988607,144083478.27988556
58577341.25537217,58577341.2553708
125368334.88020492,125368334.8802057
124801661.23325726,124801661.23325828
356691916.2026989,356691916.2027012
87431381.87077254,87431381.87077203
98101544.49891068,98101544.4989129
79256378.06152639,79256378.06152332
99252406.43653417,99252406.43653384
100682878.46813908,100682878.46813443
110418969.0607977,110418969.06079826
60813995.18691574,60813995.186915204
96446852.84169811,96446852.84169658
128177780.19330889,128177780.19330877
103780690.67795275,103780690.6779486
126876880.56094289,126876880.56094298
72977096.92936867,72977096.92936793
131753597.96882248,131753597.96882333
117143149.1542213,117143149.15422246
113170902.05357927,113170902.05357674
80441356.5316228,80441356.53162444
438012437.9311154,438012437.93112063
145277626.67778617,145277626.67778587
96614904.55202761,96614904.5520287
78605248.32764812,78605248.32764867
164142438.91678643,164142438.9167839
138748293.28230536,138748293.28230464
101331209.20506667,101331209.20506836
96207804.72660954,96207804.72660801
75935875.42576449,75935875.42576386
112801001.57456616,112801001.57456684
133150981.14549387,133150981.14549118
83311205.95716079,83311205.95716238
81021124.29624009,81021124.29624197
58377323.00721224,58377323.00721085
246555760.1667086,246555760.16671002
71601662.5733952,71601662.57339372
82520518.66214043,82520518.66214083
114585516.2689313,114585516.26893288
125586934.71059495,125586934.71059594
284301061.4788697,284301061.47887516
135945536.90441638,135945536.90441564
104941489.88887072,104941489.88887274
50921935.26598616,50921935.26598588
123570712.52846122,123570712.52846254
20967623.123548113,20967623.123548128
118438781.88068849,118438781.88068742
204276805.50117812,204276805.50117582
78475743.25017798,78475743.25017607
138302108.8468982,138302108.84689787
118106290.1452091,118106290.14521268
110084611.3716861,110084611.37169011
118038370.11794734,118038370.11794718
72168381.5750433,72168381.57504229
136421106.76429933,136421106.76429898
114748070.3764931,114748070.37649542
56243081.390616134,56243081.39061496
83096205.73808387,83096205.73808502
99003783.85081336,99003783.85081269
37810037.64271587,37810037.64271855
571775111.5850207,571775111.5850186
122449917.04197997,122449917.04198134
1381361218.5850868,1381361218.585048
214625346.02506283,214625346.0250581
79579897.63677245,79579897.63677222
